title,url,source,published_at,snippet,link_verified,fetch_timestamp
Probing picometre-scale interlayer deformations via hyperbolic polaritons,https://www.nature.com/articles/s41586-026-10638-w,Nature.com,2026-06-17T00:00:00Z,"A new polaritonic optical method that uses the mid-infrared out-of-plane hyperbolic polaritons mode is described and experimentally validated to allow the examination of picometre-scale interlayer deformations, providing a bridge between nanomechanics and pho…",True,2026-06-18T02:03:28.505517
Optical metasurfaces for general vision processing on the edge,https://www.nature.com/articles/s41586-026-10635-z,Nature.com,2026-06-17T00:00:00Z,"By embedding core computer vision principles into a large-scale optical metasurface, an efficient vision processing system using far fewer parameters is demonstrated to outperform many digital models and enables deployment on edge devices.",True,2026-06-18T02:03:28.505526
"Coherent Breaks Ground on Expanded Texas Facility, Scaling AI’s Optical Backbone",https://blogs.nvidia.com/blog/coherent-texas-ai-optical/,Nvidia.com,2026-06-16T22:10:56Z,"AI runs at the speed of light. More and more, that light is made in Texas. Coherent broke ground today on an expanded manufacturing building in Sherman, Texas.  The company makes the lasers, optical components and compound semiconductors that wire AI systems …",True,2026-06-18T02:03:28.505529
Nvidia Upgrades US Manufacturing As AI Race Intensifies,https://dailycaller.com/2026/06/16/nvidia-manufacturing-us-ai/,The Daily Caller,2026-06-16T20:58:56Z,Nvidia revealed plans to build a new chip factory in Texas on Tuesday.,True,2026-06-18T02:03:28.505531
EssilorLuxottica and Applied Materials Join Forces to Advance Augmented Reality Optics Platforms for Next-Generation Smart Glasses,https://www.globenewswire.com/news-release/2026/06/16/3312915/0/en/EssilorLuxottica-and-Applied-Materials-Join-Forces-to-Advance-Augmented-Reality-Optics-Platforms-for-Next-Generation-Smart-Glasses.html,GlobeNewswire,2026-06-16T16:44:00Z,EssilorLuxottica and Applied Materials Join Forces to Advance Augmented Reality Optics Platforms for Next-Generation Smart Glasses  Joint development...,True,2026-06-18T02:03:28.505533
EeroQ Makes World-First Breakthrough in Electron Qubits Floating on Helium,https://www.prnewswire.com/news-releases/eeroq-makes-world-first-breakthrough-in-electron-qubits-floating-on-helium-302800779.html,PRNewswire,2026-06-16T11:06:00Z,"Peer-reviewed results published in Nature Physics open a new front in the quantum computing race CHICAGO, June 16, 2026 /PRNewswire/ -- EeroQ, the quantum computing company, today announced the first-ever demonstration of the strong coupling of a microwave ph…",True,2026-06-18T02:03:28.505535
Atom Computing raises $300M as it races to build the world’s first fault-tolerant and commercially viable quantum computer,https://siliconangle.com/2026/06/16/atom-computing-raises-300m-races-build-worlds-first-fault-tolerant-commercially-viable-quantum-computer/,SiliconANGLE News,2026-06-17T01:47:08Z,"The race to build a functional, fault-tolerant quantum computer gained even more momentum today with Atom Computing Inc. raising a hefty $300 million in funding to accelerate its roadmap towards commercial availability. The round includes a $100 million Serie…",True,2026-06-18T02:03:28.943377
AI Art in the Classroom with Tim Needles,https://www.coolcatteacher.com/e941/,Coolcatteacher.com,2026-06-17T00:15:06Z,"From the Cool Cat Teacher Blog by Vicki Davis Subscribe to the 10 Minute Teacher Podcast and Cool Cat Teacher Talk anywhere you listen to podcasts.
Art teacher Tim Needles shows how AI art in the classroom can amplify creativity without replacing watercolors …",False,2026-06-18T02:03:28.943385
A 98-qubit trapped-ion quantum computer with all-to-all connectivity,https://www.nature.com/articles/s41586-026-10676-4,Nature.com,2026-06-17T00:00:00Z,"A new quantum computer, Quantinuum Helios, which is a 98-qubit trapped-ion quantum processor built on the QCCD architecture, demonstrates performance well beyond classical capabilities and provides a path for scaling up quantum computing.",True,2026-06-18T02:03:28.943386
Transfer-printed yellow and red InGaN micro-LEDs on diamond for ultra-low-power high-speed optical interconnects,https://www.nature.com/articles/s41467-026-74151-4,Nature.com,2026-06-17T00:00:00Z,"The authors demonstrate transfer-printed yellow and red InGaN micro-LEDs on diamond substrates. These devices achieve a 1.5 Gbps data rate with an energy efficiency of 0.056 pJ/bit, enabling low-power, high-speed optical interconnects.",True,2026-06-18T02:03:28.943388
Operando microscopy for neuromorphic hardware,https://www.nature.com/articles/s41563-026-02629-z,Nature.com,2026-06-17T00:00:00Z,"This Review highlights state-of-the-art imaging from electron and X-ray to optical techniques to probe the dynamics of neuromorphic materials, including operando characterization of devices.",True,2026-06-18T02:03:28.943389
Robbins LLP Reminds DVLT Stockholders of its Investigation into Datavault AI Inc.; Contact the Firm for Information,https://www.prnewswire.com/news-releases/robbins-llp-reminds-dvlt-stockholders-of-its-investigation-into-datavault-ai-inc-contact-the-firm-for-information-302802283.html,PRNewswire,2026-06-16T23:30:00Z,"SAN DIEGO, June 16, 2026 /PRNewswire/ -- Shareholder rights law firm Robbins LLP is investigating Datavault AI Inc. (NASDAQ: DVLT) to determine whether certain Datavault AI Inc. officers and directors violated securities laws and breached fiduciary duties to …",True,2026-06-18T02:03:28.943391
UK announces £1.3 billion in energy and AI investments at G7 summit,https://cryptobriefing.com/uk-energy-ai-investment-g7-summit/,Crypto Briefing,2026-06-16T23:22:53Z,"The UK's strategic investments in clean energy and AI could enhance its global leadership in technology and energy security, boosting job creation.
The post UK announces £1.3 billion in energy and AI investments at G7 summit appeared first on Crypto Briefing.",True,2026-06-18T02:03:28.943392
NLnet announces funding for 67 more open-source projects,https://nlnet.nl/news/2026/20260616-67-new-projects.html,Nlnet.nl,2026-06-16T23:12:09Z,Comments,True,2026-06-18T02:03:28.943393
Prime Minister secures major jobs and energy investment at G7 to deliver growth and security at home,https://www.gov.uk/government/news/prime-minister-secures-major-jobs-and-energy-investment-at-g7-to-deliver-growth-and-security-at-home,Www.gov.uk,2026-06-16T21:30:01Z,Prime Minister secures major jobs and energy investment at G7 to deliver growth and security at home.,True,2026-06-18T02:03:28.943397
INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Datavault AI Inc. - DVLT,https://www.globenewswire.com/news-release/2026/06/16/3313068/1087/en/INVESTOR-ALERT-Pomerantz-Law-Firm-Investigates-Claims-On-Behalf-of-Investors-of-Datavault-AI-Inc-DVLT.html,GlobeNewswire,2026-06-16T20:56:00Z,"NEW YORK, June 16, 2026 (GLOBE NEWSWIRE) -- Pomerantz LLP is investigating claims on behalf of investors of Datavault AI Inc. (“Datavault” or the “Company”) (NASDAQ: DVLT). Such investors are advised to contact Danielle Peyton at newaction@pomlaw.com or 646-5…",True,2026-06-18T02:03:28.943399
IQM Deploys Its First U.S. Quantum Computer at Oak Ridge National Laboratory,https://financialpost.com/pmn/business-wire-news-releases-pmn/iqm-deploys-its-first-u-s-quantum-computer-at-oak-ridge-national-laboratory,Financial Post,2026-06-16T19:00:53Z,"Pathfinder, a 20-qubit IQM Radiance system, is now operational at the home of Frontier, the world’s most powerful supercomputer for open science. It’s ORNL’s first commercially procured quantum computer and IQM’s first system on U.S. soil. It will be connecte…",False,2026-06-18T02:03:28.943400
Launching Version 15 of Wolfram Language & Mathematica: Built-in (Useful) AI & Lots of New Core Functionality,https://writings.stephenwolfram.com/2026/06/launching-version-15-of-wolfram-language-mathematica-built-in-useful-ai-lots-of-new-core-functionality/,Stephenwolfram.com,2026-06-16T18:59:59Z,"June 23, 1988 is when we launched Version 1.0 of Mathematica. Today—almost 38 years later—we’re launching Version 15 of what—in recognition of how far it’s expanded beyond “math”—we now call Wolfram Language. It’s an impressive release, with a lot of new core…",True,2026-06-18T02:03:28.943401
Congressional Proposal Could Deepen US Complicity,https://www.hrw.org/news/2026/06/16/congressional-proposal-could-deepen-us-complicity,Human Rights Watch,2026-06-16T18:45:18Z,"Click to expand Image
 



 
 
 

 
 
 
 
 US President Donald Trump (center-right) meets with Israeli Prime Minister Benjamin Netanyahu (center-left) during a bilateral meeting at Trump's Mar-a-Lago residence in Palm Beach, Florida, on December 29, 2025.
 © …",True,2026-06-18T02:03:28.943403
"IonQ, Rigetti, D-Wave, and Quantum Computing Inc. All Fall 5% to 7% as the Quantum Rally Reverses",https://biztoc.com/x/25467b5878686044,Biztoc.com,2026-06-16T18:41:36Z,"The post IonQ, Rigetti, D-Wave, and Quantum Computing Inc. All Fall 5% to 7% as the Quantum Rally Reverses appeared first on 24/7 Wall St.. 
 
 
 
 RGTI leads quantum sector decline with 7% drop to $21.13 after profit-taking from Monday's rally; IONQ, QBTS, Q…",True,2026-06-18T02:03:28.943404
Encryption Won't Survive Quantum Computing: What to Do?,https://dzone.com/articles/quantum-safe-encryption,Dzone.com,2026-06-16T18:00:00Z,"Every time you open your banking app, send a private message, or log into your company's systems, a math problem is standing between your data and the rest of the world. A very specific kind of math problem, one that takes thousands of years to solve, even fo…",False,2026-06-18T02:03:28.943406
"OQC Tech deploys first quantum computer to New York City, targeting Wall Street",https://cryptobriefing.com/oqc-quantum-computer-new-york-city/,Crypto Briefing,2026-06-16T17:56:28Z,"The deployment signifies a shift towards integrating quantum computing in financial sectors, potentially transforming risk analysis and optimization.
The post OQC Tech deploys first quantum computer to New York City, targeting Wall Street appeared first on Cr…",True,2026-06-18T02:03:28.943407
RBC CEO Sees Pipeline News Soon in ‘Risk On’ Investment Climate,https://financialpost.com/pmn/business-pmn/rbc-ceo-sees-pipeline-news-soon-in-risk-on-investment-climate,Financial Post,2026-06-16T17:29:44Z,Royal Bank of Canada Chief Executive Officer Dave McKay said he expects announcements related to major Canadian energy projects in the “coming weeks” while warning that the country needs to move fast to secure capital.,False,2026-06-18T02:03:28.943408
rephon added to PyPI,https://pypi.org/project/rephon/,Pypi.org,2026-06-16T17:23:59Z,Rephon Computing — Simulate the Physics of Rephasing Computation,True,2026-06-18T02:03:28.943410
"Business quote of the day by Google CEO Sundar Pichai: “As a leader, it is important to not just see your own success, but focus on the success of others” What business owners can learn from Sundar Pichai's mindset",https://economictimes.indiatimes.com/news/new-updates/business-quote-of-the-day-by-google-ceo-sundar-pichai-as-a-leader-it-is-important-to-not-just-see-your-own-success-but-focus-on-the-success-of-others-what-business-owners-can-learn-from-sundar-pichais-mindset/articleshow/131777057.cms,The Times of India,2026-06-16T17:21:52Z,Google CEO Sundar Pichai emphasizes that leaders must focus on others' success. True leadership means helping teams grow and reach their potential. This approach builds stronger organizations and fosters loyalty. Business owners should create opportunities fo…,True,2026-06-18T02:03:28.943411
tensorcircuit-nightly 1.7.0.dev20260616,https://pypi.org/project/tensorcircuit-nightly/1.7.0.dev20260616/,Pypi.org,2026-06-16T17:20:32Z,High performance unified quantum computing framework for the NISQ era,True,2026-06-18T02:03:28.943412
HPE AI Factory With NVIDIA Expands for the Era of Agents,https://blogs.nvidia.com/blog/hpe-ai-factory-agentic-enterprise/,Nvidia.com,2026-06-16T16:30:27Z,"Enterprises are moving agentic AI from proof of concept to production — and the next generation of AI factories are built for the era of agents. At HPE Discover Las Vegas, running through Thursday, June 18, NVIDIA and HPE are expanding the HPE AI Factory with…",True,2026-06-18T02:03:28.943414
"Japan wants to send 30,000 young scientists abroad for AI, quantum research",https://asia.nikkei.com/business/education/japan-wants-to-send-30-000-young-scientists-abroad-for-ai-quantum-research,Nikkei.com,2026-06-16T15:29:59Z,Tokyo weighs expanding financial support as weak yen increases cost of living overseas,True,2026-06-18T02:03:28.943415
Reminder to Submit Presentations for NANOG 98,https://seclists.org/nanog/2026/Jun/47,Seclists.org,2026-06-16T15:21:33Z,"Posted by NANOG Program via NANOG on Jun 16NANOG Community at large,

The NANOG Program Committee (PC) would like to remind you that we are now
accepting proposals for in-person or live remote presentations at all
sessions of NANOG 98, taking place in Miami, …",True,2026-06-18T02:03:28.943416
